run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
1,0,x[6],False,,,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,x[10],False,,,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[1],False,,,d7ff7f726c292d8b2a8a092e6fe618f2,1.0,False,0.0
1,0,x[4],False,,,d5b4863b0a5ae2f8c4e3269eaa0e159d,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,x[9],False,,,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d7ff7f726c292d8b2a8a092e6fe618f2,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[12],False,,,5ad584506bc888abdcebe05827e26878,1.0,False,0.0
1,0,x[4],True,x[4],1.0,d5b4863b0a5ae2f8c4e3269eaa0e159d,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,x[11],False,,,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,x[4],True,x[4],1.0,d5b4863b0a5ae2f8c4e3269eaa0e159d,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d7ff7f726c292d8b2a8a092e6fe618f2,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,"or_(x[9],x[8])",False,,,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"and_(x[10],x[9])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,x[10],True,x[10],1.0,98fc5dd7d5e22b2f18c1a389e5533ca0,1.0,False,0.0
1,0,"and_(x[10],x[11])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,not_(x[11]),False,,,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,not_(x[6]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,not_(x[1]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[12],True,x[12],1.0,5ad584506bc888abdcebe05827e26878,1.0,False,0.0
1,0,not_(x[10]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,not_(x[10]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d7ff7f726c292d8b2a8a092e6fe618f2,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[3])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"greater_than_or_equal(x[0], x[0])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,"less_than_or_equal(x[7],x[5])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"greater_than_or_equal(x[5], x[7])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,not_(x[4]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,"and_(x[6],x[12])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"less_than_or_equal(x[5],x[0])",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"less_than_or_equal(x[5],x[5])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,x[4],True,x[4],1.0,d5b4863b0a5ae2f8c4e3269eaa0e159d,1.0,False,0.0
1,0,"less_than_or_equal(x[0],x[2])",False,,,2a2a1060bee7a128175ef2049acfc532,1.0,False,0.0
1,0,x[11],True,x[11],1.0,2313519ecfe90bfd01f859bfa3b90acd,1.0,False,0.0
1,0,"greater_than_or_equal(x[3], x[7])",False,,,80f79804bf905a16d593792e43211b45,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d7ff7f726c292d8b2a8a092e6fe618f2,1.0,False,0.0
1,0,"less_than_or_equal(x[7],x[7])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,not_(x[9]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[3])",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,"less_than_or_equal(add(x[5],x[2]),mul(x[3],x[2]))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"greater_than_or_equal(add(x[0],x[7]), x[5])",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"not_(less_than_or_equal(x[5],x[7]))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,not_(x[9]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"or_(greater_than_or_equal(x[3], x[0]),greater_than_or_equal(x[5], x[7]))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,not_(not_(not_(x[9]))),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"greater_than_or_equal(pdiv(x[5],x[2]), add(x[7],x[7]))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"not_(less_than_or_equal(x[2],x[0]))",True,"less_than_or_equal(x[0],x[2])",1.0,2a2a1060bee7a128175ef2049acfc532,1.0,False,0.0
1,0,"less_than_or_equal(mul(x[0],x[0]),add(x[2],x[2]))",False,,,8dc981e10657ae00da84b25ce21ffd49,1.0,False,0.0
1,0,x[12],True,x[12],1.0,5ad584506bc888abdcebe05827e26878,1.0,False,0.0
1,0,"greater_than_or_equal(add(x[3],x[3]), mul(x[5],x[3]))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"less_than_or_equal(sub(x[3],x[0]),add(x[0],x[3]))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"not_(less_than_or_equal(x[0],x[3]))",False,,,5dafac36be2837bbaae5ebe40b1bd111,1.0,False,0.0
1,0,"greater_than_or_equal(x[0], sub(x[2],x[3]))",False,,,e855e583f6c2ca8dbab57fe9b1a99230,1.0,False,0.0
1,0,"not_(greater_than_or_equal(x[0], x[5]))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,x[12],True,x[12],1.0,5ad584506bc888abdcebe05827e26878,1.0,False,0.0
1,0,not_(x[8]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,not_(x[8]),True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"greater_than_or_equal(sub(sub(x[7],x[2]),add(x[3],x[0])), pdiv(add(x[7],x[5]),add(x[0],x[5])))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[4],True,x[4],1.0,d5b4863b0a5ae2f8c4e3269eaa0e159d,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
1,0,"greater_than_or_equal(mul(sub(x[5],x[2]),sub(x[0],x[3])), add(sub(x[5],x[7]),x[7]))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"not_(less_than_or_equal(pdiv(x[3],x[7]),sub(x[5],x[5])))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"greater_than_or_equal(x[5], mul(x[3],34.60))",False,,,9bf7e79a3f86dfda64a1f6e2803cb3b3,1.0,False,0.0
1,0,"greater_than_or_equal(pdiv(pdiv(x[0],x[7]),pdiv(x[0],x[2])), x[7])",False,,,b60df44021d2ec973d61ea705aa99db3,1.0,False,0.0
1,0,"not_(less_than_or_equal(pdiv(x[3],x[2]),add(x[3],x[0])))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[9],True,x[9],1.0,dc9b01093893ecafdc2b2200c55f4e47,1.0,False,0.0
1,0,"not_(less_than_or_equal(sub(x[7],x[2]),mul(x[5],x[7])))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,"not_(less_than_or_equal(pdiv(x[7],x[2]),sub(x[3],x[5])))",True,"or_(x[9],x[8])",1.0,b85ffe0da9194507f848655a84a81676,1.0,False,0.0
1,0,"not_(greater_than_or_equal(sub(x[5],x[7]), mul(x[2],x[2])))",True,not_(x[11]),1.0,330fcbb3ca493ae17f5cf7a205ae9420,1.0,False,0.0
1,0,x[6],True,x[6],1.0,a7774ff8f1bca36d198516374809c0f5,1.0,False,0.0
