gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,22.30952380952381,1,4.942857142857143,3,5.914285714285715,14.961904761904762,2,0.0,0.04239296913146973,5,fec_simple_farthest_point,0.2
1,194,1.0,0.0,1.0,1.0,1.0,3,24.147410358565736,1,4.043824701195219,3,5.693227091633466,11.936254980079681,2,0.0009632110595703125,0.06716752052307129,5,fec_simple_farthest_point,0.2
2,166,1.0,0.0,1.0,1.0,1.0,3,25.425531914893618,1,3.5,3,5.475177304964539,10.166666666666666,2,0.0009400844573974609,0.06580710411071777,5,fec_simple_farthest_point,0.2
3,116,1.0,0.0,1.0,1.0,1.0,3,26.027863777089784,1,3.027863777089783,3,5.164086687306502,8.594427244582043,2,0.0013897418975830078,0.06929945945739746,5,fec_simple_farthest_point,0.2
4,101,1.0,0.0,1.0,1.0,1.0,3,25.82758620689655,1,2.8746081504702192,3,5.003134796238244,8.050156739811912,2,0.0012125968933105469,0.06543636322021484,5,fec_simple_farthest_point,0.2
5,81,1.0,0.0,1.0,1.0,1.0,3,27.225519287833826,1,2.7329376854599405,3,4.818991097922849,7.510385756676558,2,0.001363992691040039,0.06652331352233887,5,fec_simple_farthest_point,0.2
6,68,1.0,0.0,1.0,1.0,1.0,3,27.032432432432433,1,2.4135135135135135,3,4.537837837837838,6.481081081081081,2,0.0012843608856201172,0.06698465347290039,5,fec_simple_farthest_point,0.2
7,50,1.0,0.0,1.0,1.0,1.0,3,26.67979002624672,1,2.089238845144357,3,4.251968503937008,5.4619422572178475,2,0.0013759136199951172,0.06435918807983398,5,fec_simple_farthest_point,0.2
8,50,1.0,0.0,1.0,1.0,1.0,3,27.03475935828877,1,2.0668449197860963,3,4.157754010695188,5.259358288770054,2,0.0012919902801513672,0.06401443481445312,5,fec_simple_farthest_point,0.2
9,53,1.0,0.0,1.0,1.0,1.0,3,26.71969696969697,1,2.095959595959596,3,4.2146464646464645,5.373737373737374,2,0.0013098716735839844,0.06332564353942871,5,fec_simple_farthest_point,0.2
10,44,1.0,0.0,1.0,1.0,1.0,3,26.32133676092545,1,1.9794344473007712,3,4.102827763496144,5.038560411311054,2,0.001313924789428711,0.0617823600769043,5,fec_simple_farthest_point,0.2
11,43,1.0,0.0,1.0,1.0,1.0,3,26.85929648241206,1,2.0829145728643215,3,4.153266331658291,5.273869346733668,2,0.0013217926025390625,0.06617140769958496,5,fec_simple_farthest_point,0.2
12,38,1.0,0.0,1.0,1.0,1.0,3,27.127551020408163,1,1.903061224489796,3,4.033163265306122,4.767857142857143,2,0.0013163089752197266,0.06152462959289551,5,fec_simple_farthest_point,0.2
13,31,1.0,0.0,1.0,1.0,1.0,3,26.775609756097563,1,1.748780487804878,3,3.870731707317073,4.365853658536586,2,0.0013163089752197266,0.06013774871826172,5,fec_simple_farthest_point,0.2
14,28,1.0,0.0,1.0,1.0,1.0,3,27.022332506203472,1,1.7320099255583126,3,3.8535980148883375,4.260545905707196,2,0.0013377666473388672,0.061676979064941406,5,fec_simple_farthest_point,0.2
15,30,1.0,0.0,1.0,1.0,1.0,3,26.753086419753085,1,1.6888888888888889,3,3.8098765432098767,4.162962962962963,2,0.0013713836669921875,0.06100773811340332,5,fec_simple_farthest_point,0.2
16,25,1.0,0.0,1.0,1.0,1.0,3,27.43498817966903,1,1.612293144208038,3,3.66193853427896,3.893617021276596,2,0.001338958740234375,0.11015605926513672,5,fec_simple_farthest_point,0.2
17,20,1.0,0.0,1.0,1.0,1.0,3,27.453271028037385,1,1.591121495327103,3,3.616822429906542,3.794392523364486,2,0.0013611316680908203,0.05909991264343262,5,fec_simple_farthest_point,0.2
18,26,1.0,0.0,1.0,1.0,1.0,3,27.380510440835266,1,1.6937354988399071,3,3.6844547563805103,4.104408352668213,2,0.0013284683227539062,0.05992770195007324,5,fec_simple_farthest_point,0.2
19,24,1.0,0.0,1.0,1.0,1.0,3,27.926713947990542,1,1.57919621749409,3,3.569739952718676,3.66903073286052,2,0.0012955665588378906,0.05869889259338379,5,fec_simple_farthest_point,0.2
20,17,1.0,0.0,1.0,1.0,1.0,3,28.57638888888889,1,1.599537037037037,3,3.6435185185185186,3.8055555555555554,2,0.001306772232055664,0.062491655349731445,5,fec_simple_farthest_point,0.2
21,22,1.0,0.0,1.0,1.0,1.0,3,27.8561320754717,1,1.5400943396226414,3,3.5872641509433962,3.681603773584906,2,0.0013427734375,0.06150627136230469,5,fec_simple_farthest_point,0.2
22,32,1.0,0.0,1.0,1.0,1.0,3,27.599045346062052,1,1.5656324582338903,3,3.6372315035799523,3.7661097852028638,2,0.0013561248779296875,0.06254029273986816,5,fec_simple_farthest_point,0.2
23,22,1.0,0.0,1.0,1.0,1.0,3,27.41549295774648,1,1.5187793427230047,3,3.5892018779342725,3.6056338028169015,2,0.001355886459350586,0.059151411056518555,5,fec_simple_farthest_point,0.2
24,24,1.0,0.0,1.0,1.0,1.0,3,27.403225806451612,1,1.576036866359447,3,3.640552995391705,3.7672811059907834,2,0.0014104843139648438,0.061609506607055664,5,fec_simple_farthest_point,0.2
25,24,1.0,0.0,1.0,1.0,1.0,3,26.03448275862069,1,1.4988505747126437,3,3.5540229885057473,3.52183908045977,2,0.0013737678527832031,0.061516523361206055,5,fec_simple_farthest_point,0.2
26,19,1.0,0.0,1.0,1.0,1.0,3,25.54875283446712,1,1.2879818594104309,3,3.380952380952381,2.941043083900227,2,0.0013206005096435547,0.05780029296875,5,fec_simple_farthest_point,0.2
27,21,1.0,0.0,1.0,1.0,1.0,3,25.326340326340326,1,1.275058275058275,3,3.3776223776223775,2.9463869463869465,2,0.0013570785522460938,0.0577082633972168,5,fec_simple_farthest_point,0.2
28,18,1.0,0.0,1.0,1.0,1.0,3,25.581818181818182,1,1.2704545454545455,3,3.340909090909091,2.909090909090909,2,0.0013496875762939453,0.056534767150878906,5,fec_simple_farthest_point,0.2
29,12,1.0,0.0,1.0,1.0,1.0,3,25.276086956521738,1,1.1673913043478261,3,3.232608695652174,2.5543478260869565,2,0.0013418197631835938,0.0583040714263916,5,fec_simple_farthest_point,0.2
30,17,1.0,0.0,1.0,1.0,1.0,3,25.806306306306308,1,1.1216216216216217,3,3.2072072072072073,2.454954954954955,2,0.0013034343719482422,0.058548927307128906,5,fec_simple_farthest_point,0.2
