gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,22.405940594059405,1,4.935643564356436,3,5.98019801980198,15.024752475247524,2,0.0,0.044344186782836914,3,fec_simple_stratified,0.4
1,216,1.0,0.0,1.0,1.0,1.0,3,24.62608695652174,1,4.113043478260869,3,5.821739130434783,12.217391304347826,2,0.0009992122650146484,0.07081007957458496,3,fec_simple_stratified,0.4
2,159,1.0,0.0,1.0,1.0,1.0,3,25.640569395017792,1,3.683274021352313,3,5.619217081850533,10.672597864768683,2,0.0010042190551757812,0.06998634338378906,3,fec_simple_stratified,0.4
3,119,1.0,0.0,1.0,1.0,1.0,3,26.53846153846154,1,3.5846153846153848,3,5.67076923076923,10.2,2,0.0012218952178955078,0.0791473388671875,3,fec_simple_stratified,0.4
4,119,1.0,0.0,1.0,1.0,1.0,3,28.193846153846152,1,4.058461538461539,3,5.849230769230769,11.150769230769232,2,0.0012328624725341797,0.08009052276611328,3,fec_simple_stratified,0.4
5,106,1.0,0.0,1.0,1.0,1.0,3,29.322857142857142,1,4.051428571428572,3,5.8028571428571425,10.968571428571428,2,0.0012812614440917969,0.08305191993713379,3,fec_simple_stratified,0.4
6,91,1.0,0.0,1.0,1.0,1.0,3,31.671309192200557,1,4.080779944289693,3,5.818941504178273,11.239554317548746,2,0.0013463497161865234,0.08834242820739746,3,fec_simple_stratified,0.4
7,84,1.0,0.0,1.0,1.0,1.0,3,32.88409703504043,1,4.291105121293801,3,6.02156334231806,11.663072776280323,2,0.001481771469116211,0.08804702758789062,3,fec_simple_stratified,0.4
8,97,1.0,0.0,1.0,1.0,1.0,3,34.50704225352113,1,4.329577464788732,3,6.050704225352113,11.808450704225352,2,0.0013387203216552734,0.09118986129760742,3,fec_simple_stratified,0.4
9,74,1.0,0.0,1.0,1.0,1.0,3,35.193029490616624,1,4.423592493297587,3,6.085790884718499,11.884718498659517,2,0.0013692378997802734,0.0930173397064209,3,fec_simple_stratified,0.4
10,76,1.0,0.0,1.0,1.0,1.0,3,37.310880829015545,1,5.041450777202073,3,6.284974093264249,13.357512953367875,2,0.001432180404663086,0.10055184364318848,3,fec_simple_stratified,0.4
11,84,1.0,0.0,1.0,1.0,1.0,3,38.07123287671233,1,5.098630136986301,3,6.358904109589041,13.342465753424657,2,0.001466512680053711,0.09923505783081055,3,fec_simple_stratified,0.4
12,84,1.0,0.0,1.0,1.0,1.0,3,38.9501312335958,1,5.3412073490813645,3,6.456692913385827,13.79265091863517,2,0.0014412403106689453,0.1054849624633789,3,fec_simple_stratified,0.4
13,76,1.0,0.0,1.0,1.0,1.0,3,39.689473684210526,1,5.2,3,6.439473684210526,13.547368421052632,2,0.001402139663696289,0.10146188735961914,3,fec_simple_stratified,0.4
14,76,1.0,0.0,1.0,1.0,1.0,3,40.653543307086615,1,5.482939632545932,3,6.671916010498688,14.553805774278215,2,0.001432180404663086,0.1059715747833252,3,fec_simple_stratified,0.4
